Player,Club,Age,Position,Nation,Value
Alexis Claude-Maurice,RC Lens,25,midfield,France,4.50m
Loïs Openda,RC Lens,23,Attack,Belgium,35.00m
Adam Buksa,RC Lens,26,Attack,Poland,5.00m
Florian Sotoca,RC Lens,32,Attack,France,4.00m
Wesley Saïd,RC Lens,28,Attack,France,2.00m
Rémy Labeau Lascary,RC Lens,20,Attack,Guadeloupe,500k
Benjamin Lecomte,Montpellier HSC,32,Goalkeeper,France,4.00m
Dimitry Bertaud,Montpellier HSC,25,Goalkeeper,France,1.50m
Bingourou Kamara,Montpellier HSC,26,Goalkeeper,Senegal,800k
Matis Carvalho,Montpellier HSC,24,Goalkeeper,Portugal,300k
Maxime Estève,Montpellier HSC,21,Defender,France,7.00m
Kiki Kouyaté,Montpellier HSC,26,Defender,Mali,5.00m
Christopher Jullien,Montpellier HSC,30,Defender,France,3.50m
Mamadou Sakho,Montpellier HSC,33,Defender,France,2.50m
Pedro Mendes,Montpellier HSC,32,Defender,Portugal,1.80m
Faitout Maouassa,Montpellier HSC,24,Defender,France,6.00m
Issiaga Sylla,Montpellier HSC,29,Defender,Guinea,2.50m
Théo Sainte-Luce,Montpellier HSC,24,Defender,France,2.00m
Thibault Tamas,Montpellier HSC,22,Defender,France,150k
Falaye Sacko,Montpellier HSC,28,Defender,Mali,4.00m
Enzo Tchato,Montpellier HSC,20,Defender,Cameroon,2.50m
Mathías Suárez,Montpellier HSC,27,Defender,Uruguay,300k
Joris Chotard,Montpellier HSC,21,midfield,France,9.00m
Jordan Ferri,Montpellier HSC,31,midfield,France,5.00m
Khalil Fayad,Montpellier HSC,19,midfield,France,4.50m
Léo Leroy,Montpellier HSC,23,midfield,France,1.20m
Téji Savanier,Montpellier HSC,31,midfield,France,10.00m
Stephy Mavididi,Montpellier HSC,25,Attack,England,6.00m
Béni Makouana,Montpellier HSC,20,Attack,Congo,600k
Arnaud Nordin,Montpellier HSC,25,Attack,France,7.00m
Elye Wahi,Montpellier HSC,20,Attack,France,35.00m
Wahbi Khazri,Montpellier HSC,32,Attack,Tunisia,2.50m
Valère Germain,Montpellier HSC,33,Attack,France,1.50m
Yanis Guermouche,Montpellier HSC,22,Attack,Algeria,150k
Alban Lafont,FC Nantes,24,Goalkeeper,France,16.00m
Rémy Descamps,FC Nantes,27,Goalkeeper,France,700k
Denis Petric,FC Nantes,35,Goalkeeper,Slovenia,150k
João Victor,FC Nantes,24,Defender,Brazil,7.00m
Andrei Girotto,FC Nantes,31,Defender,Brazil,4.00m
Jean-Charles Castelletto,FC Nantes,28,Defender,Cameroon,3.50m
Nicolas Pallois,FC Nantes,35,Defender,France,900k
Robin Voisine,FC Nantes,21,Defender,France,150k
Quentin Merlin,FC Nantes,21,Defender,France,7.00m
Jaouen Hadjam,FC Nantes,20,Defender,Algeria,2.00m
Charles Traoré,FC Nantes,31,Defender,Mali,600k
Fabien Centonze,FC Nantes,27,Defender,France,4.00m
Sébastien Corchia,FC Nantes,32,Defender,France,1.00m
Pedro Chirivella,FC Nantes,26,midfield,Spain,6.00m
Lohann Doucet,FC Nantes,20,midfield,France,700k
Samuel Moutoussamy,FC Nantes,26,midfield,DR Congo,5.00m
Moussa Sissoko,FC Nantes,33,midfield,France,2.50m
Ludovic Blas,FC Nantes,25,midfield,France,20.00m
Florent Mollet,FC Nantes,31,midfield,France,2.00m
Gor Manvelyan,FC Nantes,21,midfield,France,400k
Samuel Yépié Yépié,FC Nantes,20,midfield,France,150k
Moses Simon,FC Nantes,27,Attack,Nigeria,8.00m
Marcus Coco,FC Nantes,27,Attack,France,1.20m
Andy Delort,FC Nantes,31,Attack,Algeria,7.00m
Mostafa Mohamed,FC Nantes,25,Attack,Egypt,6.00m
Evann Guessand,FC Nantes,21,Attack,France,4.50m
Ignatius Ganago,FC Nantes,24,Attack,Cameroon,4.00m
Yehvann Diouf,Stade Reims,23,Goalkeeper,France,8.00m
Alexandre Olliero,Stade Reims,27,Goalkeeper,France,600k
Nicolas Penneteau,Stade Reims,42,Goalkeeper,France,100k
Florent Duparchy,Stade Reims,23,Goalkeeper,France,100k
Emmanuel Agbadou,Stade Reims,26,Defender,Cote d'Ivoire,7.50m
Cheick Keita,Stade Reims,20,Defender,France,1.50m
Yunis Abdelhamid,Stade Reims,35,Defender,Morocco,700k
Thibault De Smet,Stade Reims,25,Defender,Belgium,3.00m
Thomas Foket,Stade Reims,28,Defender,Belgium,5.00m
Maxime Busi,Stade Reims,23,Defender,Belgium,2.50m
Marshall Munetsi,Stade Reims,27,midfield,Zimbabwe,9.00m
Azor Matusiwa,Stade Reims,25,midfield,Netherlands,7.50m
Jens Cajuste,Stade Reims,23,midfield,Sweden,6.00m
Dion Lopy,Stade Reims,21,midfield,Senegal,4.00m
Samuel Koeberlé,Stade Reims,18,midfield,France,250k
Valentin Atangana Edoa,Stade Reims,17,midfield,France,250k
Kamory Doumbia,Stade Reims,20,midfield,Mali,2.50m
Alexis Flips,Stade Reims,23,Attack,France,6.00m
Arbër Zeneli,Stade Reims,28,Attack,Kosovo,3.50m
Myziane Maolida,Stade Reims,24,Attack,France,1.50m
Mitchell van Bergen,Stade Reims,23,Attack,Netherlands,1.20m
Junya Ito,Stade Reims,30,Attack,Japan,10.00m
Folarin Balogun,Stade Reims,21,Attack,United States,30.00m
Kaj Sierhuis,Stade Reims,25,Attack,Netherlands,1.20m
Noah Jean Holm,Stade Reims,22,Attack,Norway,700k
Matz Sels,RC Strasbourg Alsace,31,Goalkeeper,Belgium,7.00m
Eiji Kawashima,RC Strasbourg Alsace,40,Goalkeeper,Japan,150k
Robin Risser,RC Strasbourg Alsace,18,Goalkeeper,France,150k
Alexandre Pierre,RC Strasbourg Alsace,22,Goalkeeper,Haiti,100k
Alexander Djiku,RC Strasbourg Alsace,28,Defender,Ghana,8.00m
Ismaël Doukouré,RC Strasbourg Alsace,19,Defender,France,6.00m
Gerzino Nyamsi,RC Strasbourg Alsace,26,Defender,France,5.00m
Lucas Perrin,RC Strasbourg Alsace,24,Defender,France,3.00m
Maxime Le Marchand,RC Strasbourg Alsace,33,Defender,France,1.00m
Franci Bouebari,RC Strasbourg Alsace,19,Defender,France,250k
Eduard Sobol,RC Strasbourg Alsace,28,Defender,Ukraine,2.50m
Thomas Delaine,RC Strasbourg Alsace,31,Defender,France,1.20m
Colin Dagba,RC Strasbourg Alsace,24,Defender,France,4.50m
Frédéric Guilbert,RC Strasbourg Alsace,28,Defender,France,4.50m
Habib Diarra,RC Strasbourg Alsace,19,midfield,France,10.00m
Ibrahima Sissoko,RC Strasbourg Alsace,25,midfield,France,6.00m
Jean-Eudes Aholou,RC Strasbourg Alsace,29,midfield,Cote d'Ivoire,2.50m
Jean-Ricner Bellegarde,RC Strasbourg Alsace,25,midfield,France,10.00m
Morgan Sanson,RC Strasbourg Alsace,28,midfield,France,6.00m
Sanjin Prcic,RC Strasbourg Alsace,29,midfield,Bosnia-Herzegovina,3.00m
Dimitri Liénard,RC Strasbourg Alsace,35,midfield,France,500k
Yuito Suzuki,RC Strasbourg Alsace,21,midfield,Japan,600k
Nordine Kandil,RC Strasbourg Alsace,21,midfield,Morocco,400k
Habib Diallo,RC Strasbourg Alsace,28,Attack,Senegal,18.00m
Kévin Gameiro,RC Strasbourg Alsace,36,Attack,France,1.20m
Lebo Mothiba,RC Strasbourg Alsace,27,Attack,South Africa,1.20m
Yvon Mvogo,FC Lorient,29,Goalkeeper,Switzerland,3.50m
Julian Pollersbeck,FC Lorient,28,Goalkeeper,Germany,500k
Vito Mannone,FC Lorient,35,Goalkeeper,Italy,300k
Teddy Bartouche,FC Lorient,26,Goalkeeper,France,150k
Montassar Talbi,FC Lorient,25,Defender,Tunisia,8.00m
Julien Laporte,FC Lorient,29,Defender,France,2.50m
Bamo Meïté,FC Lorient,21,Defender,Cote d'Ivoire,2.50m
Maxime Wackers,FC Lorient,25,Defender,France,150k
Darlin Yongwa,FC Lorient,22,Defender,Cameroon,1.20m
Vincent Le Goff,FC Lorient,33,Defender,France,1.00m
Gédéon Kalulu,FC Lorient,25,Defender,DR Congo,5.00m
Igor Silva,FC Lorient,26,Defender,Brazil,1.50m
Laurent Abergel,FC Lorient,30,midfield,France,3.00m
Bonke Innocent,FC Lorient,27,midfield,Nigeria,2.00m
Jean-Victor Makengo,FC Lorient,25,midfield,France,10.00m
Ayman Kari,FC Lorient,18,midfield,France,1.00m
Romain Faivre,FC Lorient,24,midfield,France,10.00m
Théo Le Bris,FC Lorient,20,midfield,France,3.00m
Enzo Le Fée,FC Lorient,23,midfield,France,20.00m
Julien Ponceau,FC Lorient,22,midfield,France,2.50m
Adil Aouchiche,FC Lorient,20,midfield,France,2.20m
Yoann Cathline,FC Lorient,20,Attack,France,2.00m
Stéphane Diarra,FC Lorient,24,Attack,Cote d'Ivoire,2.50m
Bamba Dieng,FC Lorient,23,Attack,Senegal,8.00m
Ibrahima Koné,FC Lorient,24,Attack,Mali,4.00m
Siriné Doucouré,FC Lorient,21,Attack,France,500k
Maxime Dupé,FC Toulouse,30,Goalkeeper,France,2.50m
Kjetil Haug,FC Toulouse,25,Goalkeeper,Norway,400k
Thomas Himeur,FC Toulouse,22,Goalkeeper,France,150k
Anthony Rouault,FC Toulouse,22,Defender,France,10.00m
Rasmus Nicolaisen,FC Toulouse,26,Defender,Denmark,6.00m
Logan Costa,FC Toulouse,22,Defender,Cape Verde,1.20m
Kévin Keben,FC Toulouse,19,Defender,Cameroon,400k
Gabriel Suazo,FC Toulouse,25,Defender,Chile,2.50m
Oliver Zandén,FC Toulouse,21,Defender,Sweden,1.00m
Moussa Diarra,FC Toulouse,22,Defender,Mali,800k
Mikkel Desler,FC Toulouse,28,Defender,Denmark,2.50m
Warren Kamanzi,FC Toulouse,22,Defender,Norway,1.20m
Stijn Spierings,FC Toulouse,27,midfield,Netherlands,6.00m
Branco van den Boomen,FC Toulouse,27,midfield,Netherlands,12.00m
Brecht Dejaegere,FC Toulouse,32,midfield,Belgium,1.80m
Vincent Sierro,FC Toulouse,27,midfield,Switzerland,1.50m
Theocharis Tsingaras,FC Toulouse,22,midfield,Greece,1.20m
Denis Genreau,FC Toulouse,24,midfield,Australia,1.50m
Farès Chaïbi,FC Toulouse,20,Attack,Algeria,10.00m
Veljko Birmancevic,FC Toulouse,25,Attack,Serbia,3.00m
Rafael Ratão,FC Toulouse,27,Attack,Brazil,2.50m
