Player,Club,Age,Position,Nation,Value
Kang-in Lee,RCD Mallorca,22,midfield,"Korea, South",22000000.0
Wilfried Zaha,Crystal Palace,30,Attack,Cote d'Ivoire,22000000.0
Rayan Aït-Nouri,Wolverhampton Wanderers,22,Defender,Algeria,22000000.0
Filip Kostic,Juventus FC,30,midfield,Serbia,22000000.0
Djibril Sow,Eintracht Frankfurt,26,midfield,Switzerland,22000000.0
Xaver Schlager,RB Leipzig,25,midfield,Austria,22000000.0
Exequiel Palacios,Bayer 04 Leverkusen,24,midfield,Argentina,22000000.0
Joe Gomez,Liverpool FC,26,Defender,England,22000000.0
Demarai Gray,Everton FC,26,Attack,Jamaica,20000000.0
Dwight McNeil,Everton FC,23,Attack,England,20000000.0
Boubakary Soumaré,Leicester City,24,midfield,France,20000000.0
Ramy Bensebaini,Borussia Mönchengladbach,28,Defender,Algeria,20000000.0
Raphaël Guerreiro,Borussia Dortmund,29,Defender,Portugal,20000000.0
Philipp Lienhart,SC Freiburg,26,Defender,Austria,20000000.0
Jonathan Tah,Bayer 04 Leverkusen,27,Defender,Germany,20000000.0
Mathys Tel,Bayern Munich,18,Attack,France,20000000.0
Amine Adli,Bayer 04 Leverkusen,23,Attack,France,20000000.0
Wout Faes,Leicester City,25,Defender,Belgium,20000000.0
Diego Carlos,Aston Villa,30,Defender,Brazil,20000000.0
Álex Baena,Villarreal CF,21,midfield,Spain,20000000.0
Nick Pope,Newcastle United,31,Goalkeeper,England,20000000.0
Marcel Sabitzer,Manchester United,29,midfield,Austria,20000000.0
David García,CA Osasuna,29,Defender,Spain,20000000.0
Samuele Ricci,Torino FC,21,midfield,Italy,20000000.0
Borja Iglesias,Real Betis Balompié,30,Attack,Spain,20000000.0
Daniel Podence,Wolverhampton Wanderers,27,Attack,Portugal,20000000.0
Fred,Manchester United,30,midfield,Brazil,20000000.0
Gerard Moreno,Villarreal CF,31,Attack,Spain,20000000.0
Nabil Fekir,Real Betis Balompié,29,midfield,France,20000000.0
Harry Maguire,Manchester United,30,Defender,England,20000000.0
James Justin,Leicester City,25,Defender,England,20000000.0
Merih Demiral,Atalanta BC,25,Defender,Turkey,20000000.0
Dodô,ACF Fiorentina,24,Defender,Brazil,20000000.0
Emerson Royal,Tottenham Hotspur,24,Defender,Brazil,20000000.0
Illan Meslier,Leeds United,23,Goalkeeper,France,20000000.0
Brahim Díaz,AC Milan,23,midfield,Spain,20000000.0
Álvaro Morata,Atlético de Madrid,30,Attack,Spain,20000000.0
Malick Thiaw,AC Milan,21,Defender,Germany,20000000.0
Davide Calabria,AC Milan,26,Defender,Italy,20000000.0
Armel Bella-Kotchap,Southampton FC,21,Defender,Germany,20000000.0
Mario Hermoso,Atlético de Madrid,28,Defender,Spain,20000000.0
Ché Adams,Southampton FC,26,Attack,Scotland,20000000.0
Neco Williams,Nottingham Forest,22,Defender,Wales,20000000.0
Renan Lodi,Nottingham Forest,25,Defender,Brazil,20000000.0
Arthur Cabral,ACF Fiorentina,25,Attack,Brazil,20000000.0
Vitaly Janelt,Brentford FC,25,midfield,Germany,20000000.0
Éderson,Atalanta BC,23,midfield,Brazil,20000000.0
Mario Pasalic,Atalanta BC,28,midfield,Croatia,20000000.0
Dominic Solanke,AFC Bournemouth,25,Attack,England,20000000.0
