Players,Values
Facundo Pellistri,€2.50m 
Jason,€2.50m 
Edgar Méndez,€1.20m 
Joselu,€5.00m 
Lucas Pérez,€2.50m 
Miguel de la Fuente,€1.50m 
Taichi Hara,€1.30m 
Mamadou Sylla,€1.20m 
John Guidetti,€1.00m 
Marc Tenas,€500k 
Giorgi Gagua,€150k 
Alan Godoy,€100k 
