Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Pellistri Facundo,20,"FW,MF",4,0,64,0,0,0,0,0,0,0,,,,,0,15,16,93.8,180,17,1,1.41,1,0,0,0,0,0,1,1.41,1,0,0,0,0,0,1,1,0,,0,0,1,3,0
Trippier Kieran,31,DF,38,38,"3,341",1,7,0,5,0,14,4,28.6,0.07,0.25,27.1,12,1995,2788,71.6,38118,16809,178,4.79,79,94,1,1,2,1,10,0.27,6,4,0,0,0,0,71,49,46,51.1,45,43,114,84,2
Pope Nick,30,GK,37,37,"3,261",0,0,0,3,1,0,0,,,,,0,614,890,69.0,17068,11723,5,0.14,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,33.3,0,0,1,27,2
Schär Fabian,30,DF,36,36,"3,206",1,3,0,7,0,56,14,25.0,0.02,0.07,14.4,3,1423,1846,77.1,29289,11775,59,1.66,43,0,2,9,2,3,8,0.22,5,0,0,0,1,2,47,22,24,61.5,34,52,99,139,0
Botman Sven,22,DF,36,35,"3,127",0,0,0,2,0,22,7,31.8,0.00,0.00,10.2,0,1527,1765,86.5,30660,11233,24,0.69,18,1,0,5,0,0,1,0.03,0,0,0,1,0,0,38,24,22,78.6,44,34,72,126,2
Burn Dan,30,DF,38,35,"3,111",1,0,0,5,0,21,4,19.0,0.05,0.25,12.2,0,1361,1715,79.4,22235,8853,40,1.16,35,2,0,3,0,0,3,0.09,3,0,0,0,0,0,60,38,34,50.7,42,32,92,120,2
Guimarães Bruno,24,MF,32,32,"2,726",4,5,0,7,0,28,8,28.6,0.14,0.50,19.7,0,1387,1668,83.2,24038,6632,110,3.63,92,1,3,1,11,2,12,0.40,11,0,0,0,0,1,78,40,38,58.5,28,36,114,22,1
Willock Joe,22,MF,35,31,"2,558",3,6,0,1,0,58,16,27.6,0.05,0.19,16.9,0,777,951,81.7,12123,3082,85,2.99,67,0,7,7,3,1,9,0.32,6,0,1,1,1,0,51,30,25,43.1,54,25,76,17,0
Joelinton,25,"MF,FW",32,30,"2,661",6,1,0,12,0,51,19,37.3,0.12,0.32,14.6,0,1035,1268,81.6,15180,4014,80,2.71,54,1,9,8,7,1,10,0.34,4,1,2,2,1,0,70,49,26,41.9,52,48,118,39,0
Almirón Miguel,28,FW,34,29,"2,491",11,2,0,2,0,69,20,29.0,0.16,0.55,16.4,0,811,982,82.6,10752,2657,87,3.14,63,2,10,9,3,0,13,0.47,5,1,5,2,0,0,46,30,18,42.9,25,10,56,17,0
Longstaff Sean,24,MF,33,28,"2,518",1,4,0,2,0,33,7,21.2,0.03,0.14,16.0,0,943,1163,81.1,15457,4299,62,2.22,46,1,2,7,6,0,6,0.21,4,0,0,1,1,0,42,21,20,38.5,35,16,58,23,0
Wilson Callum,30,FW,31,21,"1,877",18,5,3,4,0,70,31,44.3,0.21,0.48,12.4,0,160,242,66.1,1996,339,43,2.06,24,0,6,7,6,0,10,0.48,5,0,3,2,0,0,9,3,0,0.0,8,1,10,5,0
Isak Alexander,22,FW,22,17,"1,522",10,1,2,3,0,49,23,46.9,0.16,0.35,15.0,0,279,368,75.8,4292,977,49,2.90,29,0,5,11,3,1,5,0.30,1,0,2,1,1,0,18,8,10,35.7,21,4,22,8,0
Murphy Jacob,27,FW,36,14,"1,251",4,2,0,0,0,29,10,34.5,0.14,0.40,18.6,0,296,448,66.1,4516,1252,49,3.52,37,0,4,2,5,1,6,0.43,5,0,0,0,0,1,15,7,8,40.0,17,7,22,3,0
Saint-Maximin Allan,25,FW,25,12,"1,120",1,5,0,1,0,28,11,39.3,0.04,0.09,17.6,0,316,447,70.7,5087,1599,65,5.22,49,0,10,3,3,0,10,0.80,7,0,2,0,1,0,10,3,2,18.2,4,5,15,2,0
Targett Matt,26,DF,17,6,610,0,0,0,1,0,1,0,0.0,0.00,,25.8,0,326,419,77.8,5291,2334,17,2.51,12,5,0,0,0,0,0,0.00,0,0,0,0,0,0,13,10,9,37.5,8,9,22,16,0
Gordon Anthony,21,"FW,MF",16,4,487,1,0,0,1,0,8,2,25.0,0.13,0.50,14.0,0,162,198,81.8,2222,547,16,2.96,10,1,1,1,2,1,1,0.18,1,0,0,0,0,0,14,12,9,45.0,9,2,16,1,1
Wood Chris,30,FW,18,4,446,2,0,1,0,0,8,3,37.5,0.13,0.33,14.7,0,66,106,62.3,786,149,5,1.01,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,5,4,3,60.0,2,1,6,7,0
Anderson Elliot,19,"MF,FW",22,3,410,0,1,0,0,0,11,4,36.4,0.00,0.00,16.0,0,150,198,75.8,2043,599,22,4.83,16,0,2,0,4,0,1,0.22,1,0,0,0,0,0,11,5,6,50.0,11,6,17,2,0
Fraser Ryan,28,FW,8,3,313,0,0,0,1,0,6,1,16.7,0.00,0.00,16.6,0,85,122,69.7,1228,289,8,2.30,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0,2,2,2,40.0,3,0,2,3,0
Lascelles Jamaal,28,DF,7,2,218,0,0,0,4,0,2,0,0.0,0.00,,9.7,0,79,93,84.9,1445,580,1,0.41,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,1,0,1,100.0,3,0,1,17,0
Dúbravka Martin,33,GK,2,1,157,0,0,0,0,0,0,0,,,,,0,49,54,90.7,1046,696,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0
Ritchie Matt,32,"FW,MF",7,0,39,0,0,0,0,0,0,0,,,,,0,24,31,77.4,342,88,1,2.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,33.3,0,1,2,0,0
Manquillo Javier,28,DF,4,0,37,0,0,0,0,0,0,0,,,,,0,24,29,82.8,400,114,1,2.43,0,0,0,0,0,1,1,2.43,0,0,0,0,0,1,3,2,2,100.0,1,1,4,1,0
Shelvey Jonjo,30,MF,3,0,37,0,0,0,0,0,0,0,,,,,0,19,26,73.1,442,176,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,0.0,1,0,1,0,0
Miley Lewis,16,MF,1,0,15,0,0,0,0,0,1,0,0.0,0.00,,20.1,0,5,6,83.3,49,6,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,1,0,0,0,0
