,Players,Club,Position,Age,Nationality,Values
545,Abde Ezzalzouli,FC Barcelona,Attack,21,Morocco,7000000.0
344,Exequiel Palacios,Bayer 04 Leverkusen,midfield,24,Argentina,7000000.0
733,Ferran Jutglà,Club Brugge KV,Attack,24,Spain,7000000.0
327,Pepê,FC Porto,Attack,26,Brazil,7000000.0
288,Brais Méndez,Real Sociedad,midfield,26,Spain,7000000.0
689,Federico Gatti,Juventus FC,Defender,25,Italy,7000000.0
722,Johan Bakayoko,PSV Eindhoven,Attack,20,Belgium,7000000.0
678,Stephen Eustaquio,FC Porto,midfield,26,Canada,7000000.0
715,Ryan Yates,Nottingham Forest,midfield,25,England,7000000.0
605,Abel Ruiz,SC Braga,Attack,23,Spain,7000000.0
381,Éderson,Atalanta BC,midfield,24,Brazil,7000000.0
325,Aaron Hickey,Brentford FC,Defender,21,Scotland,7000000.0
362,Arthur Theate,Stade Rennais FC,Defender,23,Belgium,7000000.0
219,Roger Ibañez,AS Roma,Defender,24,Brazil,7000000.0
985,Denis Thomalla,1.FC Heidenheim 1846,midfield,30,Germany,7000000.0
202,Seko Fofana,RC Lens,midfield,28,Cote d'Ivoire,7000000.0
167,Marc Cucurella,Chelsea FC,Defender,24,Spain,7000000.0
107,Jurrien Timber,Ajax Amsterdam,Defender,22,Netherlands,7000000.0
910,Vaclav Cerny,VfL Wolfsburg,Attack,25,Czech Republic,7000000.0
861,Zakaria Aboukhlal,FC Toulouse,Attack,23,Morocco,7000000.0
223,Gonçalo Inácio,Sporting CP,Defender,21,Portugal,7000000.0
195,Giacomo Raspadori,SSC Napoli,Attack,23,Italy,7000000.0
140,Ismaël Bennacer,AC Milan,midfield,25,Algeria,7000000.0
889,Lasse Günther,FC Augsburg,Defender,20,Germany,7000000.0
771,Jarrad Branthwaite,Everton FC,Defender,21,England,7000000.0
204,Conor Gallagher,Chelsea FC,midfield,23,England,7000000.0
270,Vitaliy Mykolenko,Everton FC,Defender,24,Ukraine,7000000.0
863,Anastasios Douvikas,FC Utrecht,Attack,23,Greece,7000000.0
805,Sergio Camello,Atlético de Madrid,Attack,22,Spain,7000000.0
123,Nico Schlotterbeck,Borussia Dortmund,Defender,23,Germany,7000000.0
1036,Mimeirhel Benita,Feyenoord Rotterdam,Defender,19,Netherlands,6900000.0
1056,João Victor,SL Benfica,Defender,24,Brazil,6900000.0
1015,Lohann Doucet,FC Nantes,midfield,20,France,6850000.0
974,Anthony Musaba,AS Monaco,Attack,22,Netherlands,6800000.0
899,Anthony Limbombe,Almere City FC,Attack,28,Belgium,6800000.0
1002,Ramon Hendriks,Feyenoord Rotterdam,Defender,21,Netherlands,6700000.0
1067,Godfried Frimpong,Moreirense FC,Defender,24,Netherlands,6700000.0
1081,Jasper Schendelaar,PEC Zwolle,Goalkeeper,22,Netherlands,6700000.0
1003,Ali Kaan Güneren,MKE Ankaragücü,midfield,23,Turkey,6650000.0
1053,Abner,RWD Molenbeek,Defender,27,Brazil,6600000.0
1052,Abner,Real Betis Balompié,Defender,23,Brazil,6600000.0
1018,Benaissa Benamar,FC Volendam,Defender,26,Morocco,6575000.0
1077,Mats Deijl,Go Ahead Eagles,Defender,25,Netherlands,6575000.0
1093,Redouan El Yaakoubi,Excelsior Rotterdam,Defender,27,Netherlands,6575000.0
990,Sontje Hansen,NEC Nijmegen,Attack,21,Netherlands,6500000.0
1030,Jeanuël Belocian,Stade Rennais FC,Defender,18,France,6500000.0
907,Toni Domgjoni,Vitesse Arnhem,midfield,24,Kosovo,6500000.0
1057,Andy Diouf,RC Lens,midfield,20,France,6500000.0
480,Ferdi Kadioglu,Fenerbahce,Defender,23,Turkey,6500000.0
905,Tibor Halilovic,SC Heerenveen,midfield,28,Croatia,6500000.0
890,Raphael Framberger,FC Augsburg,Defender,27,Germany,6500000.0
773,Scott McKenna,Nottingham Forest,Defender,26,Scotland,6500000.0
1090,Emir Karic,SV Darmstadt 98,Defender,26,Austria,6450000.0
1096,Volnei,GD Estoril Praia,Defender,23,Brazil,6425000.0
1027,Peer Koopmeiners,AZ Alkmaar,midfield,23,Netherlands,6400000.0
1045,Florent Sanchez,Olympique Lyon,midfield,20,France,6400000.0
998,Burak Öksüz,Hatayspor,Defender,27,Turkey,6400000.0
1104,Paulinho,Sporting CP,Attack,30,Portugal,6375000.0
1087,Bas Kuipers,Go Ahead Eagles,Defender,28,Netherlands,6350000.0
1133,Benchimol,GD Estoril Praia,Attack,21,Cape Verde,6350000.0
1065,Mattijs Branderhorst,FC Utrecht,Goalkeeper,29,Netherlands,6300000.0
991,Jens Toornstra,FC Utrecht,midfield,34,Netherlands,6300000.0
1061,Pelle Clement,Sparta Rotterdam,midfield,27,Netherlands,6300000.0
1085,Tibo Persyn,Inter Milan,midfield,21,Belgium,6300000.0
1127,Couhaib Driouech,Excelsior Rotterdam,Attack,21,Morocco,6275000.0
1135,Calvin Twigt,FC Volendam,midfield,20,Netherlands,6250000.0
1014,Nicolai Rapp,SV Werder Bremen,midfield,26,Germany,6200000.0
1134,Lawrence Ofori,Moreirense FC,midfield,25,Ghana,6200000.0
1020,Daan Rots,Twente Enschede FC,Attack,21,Netherlands,6200000.0
1064,Johan Gastien,Clermont Foot 63,midfield,35,France,6200000.0
1037,Rémy Descamps,FC Nantes,Goalkeeper,27,France,6200000.0
1103,Paulinho,Sporting CP,Attack,30,Portugal,6175000.0
1043,Mohamed Taabouni,Feyenoord Rotterdam,midfield,21,Netherlands,6150000.0
1122,Fredrik Oppegard,PSV Eindhoven,Defender,20,Norway,6100000.0
1005,Magnus Warming,Torino FC,Attack,23,Denmark,6100000.0
1102,Paulinho,Sporting CP,Attack,30,Portugal,6100000.0
1114,Siebe Horemans,Excelsior Rotterdam,Defender,25,Belgium,6100000.0
1083,Fabian de Keijzer,FC Utrecht,Goalkeeper,23,Netherlands,6100000.0
1116,Dirk Abels,Sparta Rotterdam,Defender,26,Netherlands,6100000.0
1113,Antoine Colassin,RSC Anderlecht,Attack,22,Belgium,6050000.0
365,Arthur Cabral,ACF Fiorentina,Attack,25,Brazil,6000000.0
