Player,Club,Age,Position,Nation,Value,League
Kieran Tierney,Arsenal FC,26,Defender,Scotland,25000000.0,Premier League
Franck Kessié,FC Barcelona,26,midfield,Cote d'Ivoire,25000000.0,La Liga
Marcelo Brozovic,Inter Milan,30,midfield,Croatia,25000000.0,Serie A
Sadio Mané,Bayern Munich,31,Attack,Senegal,25000000.0,Bundesliga
Mohamed Simakan,RB Leipzig,23,Defender,France,25000000.0,Bundesliga
Fábio Vieira,Arsenal FC,23,midfield,Portugal,25000000.0,Premier League
Patrik Schick,Bayer 04 Leverkusen,27,Attack,Czech Republic,25000000.0,Bundesliga
Giovanni Reyna,Borussia Dortmund,20,midfield,United States,25000000.0,Bundesliga
Timo Werner,RB Leipzig,27,Attack,Germany,25000000.0,Bundesliga
Takehiro Tomiyasu,Arsenal FC,24,Defender,Japan,25000000.0,Premier League
Eddie Nketiah,Arsenal FC,24,Attack,England,25000000.0,Premier League
Dominic Calvert-Lewin,Everton FC,26,Attack,England,25000000.0,Premier League
Vitaliy Mykolenko,Everton FC,24,Defender,Ukraine,25000000.0,Premier League
Samuel Chukwueze,Villarreal CF,24,Attack,Nigeria,25000000.0,La Liga
Giovanni Di Lorenzo,SSC Napoli,29,Defender,Italy,25000000.0,Serie A
Timothy Castagne,Leicester City,27,Defender,Belgium,25000000.0,Premier League
Tino Livramento,Southampton FC,20,Defender,England,25000000.0,Premier League
Aaron Wan-Bissaka,Manchester United,25,Defender,England,25000000.0,Premier League
Kevin Schade,Brentford FC,21,Attack,Germany,25000000.0,Premier League
Scott McTominay,Manchester United,26,midfield,Scotland,25000000.0,Premier League
Tetê,Leicester City,23,Attack,Brazil,25000000.0,Premier League
Ruben Loftus-Cheek,Chelsea FC,27,midfield,England,25000000.0,Premier League
Reinildo Mandava,Atlético de Madrid,29,Defender,Mozambique,25000000.0,La Liga
Enes Ünal,Getafe CF,26,Attack,Turkey,25000000.0,La Liga
Destiny Udogie,Udinese Calcio,20,Defender,Italy,25000000.0,Serie A
Amir Rrahmani,SSC Napoli,29,Defender,Kosovo,25000000.0,Serie A
Dango Ouattara,AFC Bournemouth,21,Attack,Burkina Faso,25000000.0,Premier League
Beto,Udinese Calcio,25,Attack,Portugal,25000000.0,Serie A
Christoph Baumgartner,TSG 1899 Hoffenheim,23,midfield,Austria,24000000.0,Bundesliga
Kamaldeen Sulemana,Southampton FC,21,Attack,Ghana,22000000.0,Premier League
Nathan Collins,Wolverhampton Wanderers,22,Defender,Ireland,22000000.0,Premier League
Charles De Ketelaere,AC Milan,22,midfield,Belgium,22000000.0,Serie A
Jack Harrison,Leeds United,26,Attack,England,22000000.0,Premier League
Tyrone Mings,Aston Villa,30,Defender,England,22000000.0,Premier League
Tyrell Malacia,Manchester United,23,Defender,Netherlands,22000000.0,Premier League
Viktor Tsygankov,Girona FC,25,Attack,Ukraine,22000000.0,La Liga
Tanguy Ndombélé,SSC Napoli,26,midfield,France,22000000.0,Serie A
